ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
137,319.52,301.62,247.52,336.78,370.15,124.26,169.35,178.05,137.11,105.97,148.97,168.54,87.43,160.54,62.38,36.47,156.38,117.6,230.08,206.19,79.03,223.87
138,284.59,254.07,203.86,287.71,317.11,98.88,142.37,139.14,111.61,83.2,114.46,142.86,62.46,119.42,51.88,12.59,134.82,105.47,182.69,158.65,54.42,198.99
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,9.52,7.03,9.57,14.07,10.22,1.28,7.8,14.03,7.43,4.94,3.65,11.89,5.35,8.65,5.77,3.6,12.68,7.56,14.87,8.04,4.74,16.8
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,26.1,24.96,18.11,33.73,26.75,13.02,17.2,20.1,14.84,10.78,13.62,21.67,10.84,22.46,19.09,8.4,24.26,19.95,34.62,23.32,16.46,32.11
148,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,66.23,75.65,66.68,84.64,85,32.52,52.11,53.48,49.07,32.95,52.28,51.12,32.99,59.87,40.58,26.34,58.11,46.38,72.52,63.19,38.09,76.42
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,251.76,237.95,182.67,280.9,276.73,89.47,130.72,131.56,108.39,79.56,102.83,156.37,56.29,149.47,83.94,29.2,142.49,115.93,197.06,174.3,81.51,220.69
157,269.28,246.5,193.09,296.34,302.43,98.11,139.69,137.01,113.76,75.94,108.76,147,68.72,142.55,63.06,18.44,128.15,105.85,185.25,181.47,63.58,210.04
158,202.24,211.53,159.86,228.77,258.73,86.53,110.67,109.56,80.49,70.39,99.24,112.42,58.59,99.5,43.68,22.44,105.9,73.65,142.57,131.3,54.64,146.92
159,158.68,165.19,153.85,249.43,242.74,68.17,117.09,112.11,52.91,95.76,52.81,147.3,26.17,99.14,27.86,10.79,64.31,95.28,179.91,82.02,43.06,133.93
160,181.39,181.23,171.77,237.92,252.11,65.38,125.98,116.28,85.06,88.67,99.38,134.42,35.9,102.6,33.39,9.75,76.71,96.21,164.63,94.96,43.15,139.65
161,2.18,0.68,2.11,1.92,1.73,0,1.51,1.24,0.52,1.36,0.11,3.2,0.37,1.59,0.69,0,4.08,1.91,3.54,2.07,0.1,3.66
162,2,0.45,0.65,1.79,2.32,0,1.48,1.6,0.5,0.94,0,2.52,1.23,0.67,0.81,0,3.31,1.3,2.91,2.25,0.04,4.59
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0.22,0.74,1.5,0.74,0.46,0.62,0.74,0.55,0,0.63,1.38,1.12,0.86,0.82,0,1.7,0.08,0.54,0.84,0.7,1.09
167,0.82,2.18,4.04,2.6,1.39,0.24,0.41,5.17,2.11,0.81,1.47,3.75,1.3,0.11,1.26,0,3.64,1.6,3.72,0.5,0.77,5.07
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,78,65.31,61.22,85.59,71.12,35.08,42.83,59.2,43.01,31,28.15,62.74,18.4,49.88,44.95,14.88,68.46,52.57,84.19,73.72,36.12,84.65
171,2.69,1.79,0.38,0.92,0.66,0.54,0,0,0.69,0,1.06,1.69,0.5,0,0.48,0,1.33,0.7,0.38,1.44,0,1.08
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
